SampleID,ZO9UWDL,ZN9TKCJ,ZYLJ7R7,ZY1ZKJY,ZXSDNAK,ZUHT69X,ZTXY83G,ZTXWLP3,ZTUO1AO,ZTTL3YH,ZS78KHV,ZRLZ98T,ZRA5YD8,ZLPZS0H,ZK01UI6
ICAM1,300.7339036,232.0202224,548.9656927,404.4591496,549.46766,178.5773094,269.6167221,145.3129087,190.832615,423.6834204,374.4037301,2041.269652,211.5637516,585.8433227,406.0370011
VCAM1,15383.33887,15627.46528,15794.08126,16851.62472,16066.31172,16350.81864,15362.0073,17309.10438,16182.38275,16376.98344,15937.85425,16719.06446,15311.7201,16373.03534,16671.56129
FGFB,44.66856518,61.09083178,75.3747399,306.6418693,54.583432,56.34661641,33.0494577,42.80175669,39.00919597,52.0122613,36.65829467,42.33774877,42.33774877,64.6361065,24.99260792
IL22,80.32708106,249.4864635,70.94380518,313.1988152,23.62802213,120.7138894,85.33223214,83.25095818,93.65732796,82.21032121,219.4142373,272.3762946,317.7723437,17.12944934,35.87384049
PDGFBB,279.6969795,196.3421632,179.3241867,191.4009101,439.1592878,72.7335709,139.6015312,48.09800656,69.21420457,134.9090428,162.6304275,356.0468618,113.7743731,88.09895947,195.6638561
VEGF,408.4607921,363.1950673,415.5157329,661.7866166,246.5197634,268.7797354,175.8372101,124.9700172,347.90648,165.7893695,225.8249752,330.1534726,189.5080932,328.644105,215.1762885
LEPTIN,2423.702672,2664.425886,2546.649488,5891.333487,4161.983556,493.98597,1087.414165,363.3672641,3253.642085,3090.234322,1243.569613,4550.001762,703.7140988,2145.639077,1509.630113
PAI1,8199.004569,7836.575023,7806.793641,10162.41627,7626.548777,7443.79936,9950.648154,8012.124278,5722.284301,7321.401095,7516.359401,9486.842718,7527.072188,9619.948395,7506.328058
CD40L,164.2075115,165.6658375,367.8347519,352.3526446,115.7792465,370.6437672,222.8629726,63.1643719,141.2260013,273.5136481,122.0663239,217.1036762,115.9630077,301.4725733,96.03069814
ENA78,173.6371277,444.7916726,324.7578849,1053.885854,679.9281915,645.3519806,81.99766342,244.474515,514.7631092,423.6545943,135.6893474,981.7523367,629.2260911,385.2742118,316.8137732
CHEX1,9794.459662,10036.52621,10307.69818,9997.438452,10253.32137,10071.47062,9687.833216,10275.1544,10054.66176,10087.7851,9964.797057,10157.95288,10091.78363,11420.9013,10067.45513
CHEX2,578.5453304,433.3234256,479.2272311,1000.805369,525.4958111,441.2064102,1044.017494,475.066437,983.4798702,512.0046481,540.5372038,898.9153499,692.9964151,512.0691368,442.0442713
CHEX3,1107.348146,981.6105501,1078.218387,1304.420561,874.02236,906.1756193,1497.757881,1054.759071,1249.201613,1007.065617,1062.168439,1450.640736,1238.981411,986.3663141,1018.496411
CHEX4,14.07548517,11.26038813,14.79264658,19.60639052,12.69468536,15.24026702,13.97024477,12.06521139,15.24026702,12.70022251,15.55160266,17.67227575,12.72403854,15.68166033,14.92603824
